ticker,name,sector,industry,price,week_52_low,week_52_high,market_cap,ebitda,eps,pe_ratio,price_to_sales,book_value_per_share,dividend_yield,sec_filings,revenue_ttm,debt_to_equity,levered_fcf,roa
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,145.71,130.54,221.11,46829592576,10341000192,12.9,11.295348837209303,0.32823712,58.25500066067112,0.024300002,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MPC,,,,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,637.37,546.71,959.64,31090909184,522235008,8.85,72.01920903954803,15.244774,48.21099771546722,0.007900001,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MPWR,,,,
MRK,Merck & Co.,Health Care,Pharmaceuticals,98.82,94.48,134.63,249979011072,22927998976,4.78,20.673640167364013,3.956992,17.576000908075592,0.0327,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MRK,,,,
MRNA,Moderna,Health Care,Biotechnology,39.42,31.94,170.47,15169524736,-2361999872,-5.81,-6.784853700516352,2.9855392,30.979000057289934,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MRNA,,,,
MRSH,,Financials,Insurance Brokers,,,,,,,,,,,,,,,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,138.43,83.09,141.48,222457004032,,7.95,17.412578616352203,3.8169074,58.245997297028914,0.028299998,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MS,,,,
MSCI,MSCI,Financials,Financial Exchanges & Data,596.77,439.95,642.45,46769639424,1622592000,14.06,42.44452347083926,16.687202,,0.010199999,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSCI,,,,
MSFT,Microsoft,Information Technology,Systems Software,415.06,385.58,468.35,3085547601920,136551997440,12.41,33.445608380338435,12.138745,36.11500173457467,0.0075,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT,,,,
MSI,Motorola Solutions,Information Technology,Communications Equipment,469.25,314.84,507.82,78421524480,3152000000,9.12,51.452850877192986,7.3600683,7.945000448678768,0.0092,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSI,,,,
MTB,M&T Bank,Financials,Regional Banks,201.24,128.31,225.7,33389940736,,14.64,13.745901639344263,3.9286907,159.38999033395228,0.0269,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MTB,,,,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1364.44,1133.46,1546.93,28793366528,1142445056,37.11,36.76744812718944,7.6532793,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MTD,,,,
MU,Micron Technology,Information Technology,Semiconductors,91.24,79.15,157.54,103061061632,8944000000,3.44,26.523255813953487,4.10422,40.69500140139954,0.0044,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MU,,,,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",28.35,14.69,29.29,12465722368,2335180032,1.14,24.868421052631582,1.3322719,2.582000134792247,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NCLH,,,,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,82.34,54.9,83.77,47325573120,2512000000,1.93,42.66321243523316,6.7444167,19.2640000898394,0.0117999995,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDAQ,,,,
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,220.22,196.83,279.38,12571875328,818784000,8.12,27.120689655172416,4.71784,49.907005087921945,0.0125,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDSN,,,,
NEE,NextEra Energy,Utilities,Multi-Utilities,71.56,53.95,86.1,147155976192,14577999872,3.37,21.234421364985163,5.6067963,24.33900106222938,0.0298,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEE,,,,
NEM,Newmont,Materials,Gold,42.72,29.42,58.72,49055805440,6008999936,-2.17,-19.686635944700463,2.887844,25.97199997106116,0.0232,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEM,,,,
NFLX,Netflix,Communication Services,Movies & Entertainment,976.76,542.01,999.0,417815920640,9976898560,19.93,49.00953336678374,11.115886,53.153000440511015,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFLX,,,,
NI,NiSource,Utilities,Multi-Utilities,37.3,24.8,38.83,17410856960,2324999936,1.64,22.74390243902439,3.291713,17.881000741606115,0.0297,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NI,,,,
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",76.9,70.32,107.43,115859849216,7200999936,3.18,24.18238993710692,2.316641,9.600999802424159,0.0208,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NKE,,,,
